Country	region	col_plot	samples_names	Locality	Station	Grab	Distance_cage	Depth	AMBI	NSI	ISI	ITI	NQI1	Shannon
Norway	coast	1	FHF1-St1-Gr1-A	Farm_1	1	1	0	206	4.447143	13.434185	5.941429	27.1	0.40112276	2.004455
Norway	coast	1	FHF1-St1-Gr1-B	Farm_1	1	1	0	206	4.447143	13.434185	5.941429	27.1	0.40112276	2.004455
Norway	coast	1	FHF1-St1-Gr1-C	Farm_1	1	1	0	206	4.447143	13.434185	5.941429	27.1	0.40112276	2.004455
Norway	coast	1	FHF1-St1-Gr2-A	Farm_1	1	3	0	206	4.527226	12.156156	6.138889	16.2	0.41111431	1.892259
Norway	coast	1	FHF1-St1-Gr2-B	Farm_1	1	3	0	206	4.527226	12.156156	6.138889	16.2	0.41111431	1.892259
Norway	coast	1	FHF1-St1-Gr2-C	Farm_1	1	3	0	206	4.527226	12.156156	6.138889	16.2	0.41111431	1.892259
Norway	coast	1	FHF1-St2-Gr1-A	Farm_1	2	2	38	211	5.099777	12.337974	6.555	15.6	0.44016099	2.151196
Norway	coast	1	FHF1-St2-Gr1-B	Farm_1	2	2	38	211	5.099777	12.337974	6.555	15.6	0.44016099	2.151196
Norway	coast	1	FHF1-St2-Gr1-C	Farm_1	2	2	38	211	5.099777	12.337974	6.555	15.6	0.44016099	2.151196
Norway	coast	1	FHF1-St2-Gr2-A	Farm_1	2	3	38	211	5.208406	13.422589	6.597857	25.7	0.39874095	1.690734
Norway	coast	1	FHF1-St2-Gr2-B	Farm_1	2	3	38	211	5.208406	13.422589	6.597857	25.7	0.39874095	1.690734
Norway	coast	1	FHF1-St2-Gr2-C	Farm_1	2	3	38	211	5.208406	13.422589	6.597857	25.7	0.39874095	1.690734
Norway	coast	1	FHF1-St3-Gr1-A	Farm_1	3	1	100	247	3.883429	18.71305	8.416452	57.7	0.55919265	2.768624
Norway	coast	1	FHF1-St3-Gr1-B	Farm_1	3	1	100	247	3.883429	18.71305	8.416452	57.7	0.55919265	2.768624
Norway	coast	1	FHF1-St3-Gr1-C	Farm_1	3	1	100	247	3.883429	18.71305	8.416452	57.7	0.55919265	2.768624
Norway	coast	1	FHF1-St3-Gr2-A	Farm_1	3	2	100	247	4.790598	15.800029	6.492222	37.8	0.46129279	1.983448
Norway	coast	1	FHF1-St3-Gr2-B	Farm_1	3	2	100	247	4.790598	15.800029	6.492222	37.8	0.46129279	1.983448
Norway	coast	1	FHF1-St3-Gr2-C	Farm_1	3	2	100	247	4.790598	15.800029	6.492222	37.8	0.46129279	1.983448
Norway	coast	1	FHF1-St4-Gr1-A	Farm_1	4	1	280	310	1.794479	25.046911	10.239524	62.2	0.79696529	4.717872
Norway	coast	1	FHF1-St4-Gr1-B	Farm_1	4	1	280	310	1.794479	25.046911	10.239524	62.2	0.79696529	4.717872
Norway	coast	1	FHF1-St4-Gr1-C	Farm_1	4	1	280	310	1.794479	25.046911	10.239524	62.2	0.79696529	4.717872
Norway	coast	1	FHF1-St4-Gr2-A	Farm_1	4	2	280	310	2.602687	22.879065	10.257083	54.4	0.73614335	4.510153
Norway	coast	1	FHF1-St4-Gr2-B	Farm_1	4	2	280	310	2.602687	22.879065	10.257083	54.4	0.73614335	4.510153
Norway	coast	1	FHF1-St4-Gr2-C	Farm_1	4	2	280	310	2.602687	22.879065	10.257083	54.4	0.73614335	4.510153
Norway	coast	2	FHF2-St1-Gr1-A	Farm_2	1	1	0	174	4.982143	11.580882	6.949231	11.8	0.42684877	1.913721
Norway	coast	2	FHF2-St1-Gr1-B	Farm_2	1	1	0	174	4.982143	11.580882	6.949231	11.8	0.42684877	1.913721
Norway	coast	2	FHF2-St1-Gr1-C	Farm_2	1	1	0	174	4.982143	11.580882	6.949231	11.8	0.42684877	1.913721
Norway	coast	2	FHF2-St1-Gr2-A	Farm_2	1	2	0	174	5.144766	11.062695	7.139333	10.3	0.41014871	1.873513
Norway	coast	2	FHF2-St1-Gr2-B	Farm_2	1	2	0	174	5.144766	11.062695	7.139333	10.3	0.41014871	1.873513
Norway	coast	2	FHF2-St1-Gr2-C	Farm_2	1	2	0	174	5.144766	11.062695	7.139333	10.3	0.41014871	1.873513
Norway	coast	2	FHF2-St2-Gr1-A	Farm_2	2	1	34	171	4.168589	16.146373	7.388621	36	0.54618112	2.867349
Norway	coast	2	FHF2-St2-Gr1-B	Farm_2	2	1	34	171	4.168589	16.146373	7.388621	36	0.54618112	2.867349
Norway	coast	2	FHF2-St2-Gr1-C	Farm_2	2	1	34	171	4.168589	16.146373	7.388621	36	0.54618112	2.867349
Norway	coast	2	FHF2-St2-Gr2-A	Farm_2	2	4	34	171	4.354957	15.947129	6.922727	33.3	0.51448276	2.93404
